Anna
Maria
Zofia
Katarzyna
Małgorzata
Krystyna
Agnieszka
Barbara
Janina
Ewa
Elżbieta
Helena
Teresa
Jadwiga
Magdalena
Joanna
Marianna
Aleksandra
Irena
Monika
Danuta
Stanisława
Halina
Marta
Natalia
Karolina
Julia
Beata
Dorota
Alicja
Grażyna
Jolanta
Iwona
Paulina
Wiktoria
Bożena
Urszula
Justyna
Zuzanna
Renata
Hanna
Wanda
Agata
Emilia
Sylwia
Weronika
Józefa
Stefania
Genowefa
Patrycja
Izabela
Maja
Władysława
Aneta
Kazimiera
Ewelina
Oliwia
Martyna
Klaudia
Wiesława
Gabriela
Marzena
Dominika
Kinga
Edyta
Aniela
Amelia
Kamila
Lena
Bronisława
Lucyna
Alina
Antonina
Lidia
Czesława
Regina
Leokadia
Henryka
Mirosława
Mariola
Sabina
Łucja
Wioletta
Nikola
Cecylia
Daria
Bogumiła
Milena
Michalina
Franciszka
Olga
Eugenia
Angelika
Rozalia
Bogusława
Sandra
Ilona
Laura
Gertruda
Marlena
Anita
Kornelia
Nadia
Zdzisława
Nina
Daniela
Jagoda
Anastazja
Iga
Liliana
Wioleta
Marcelina
Adrianna
Roksana
Róża
Karina
Dagmara
Klara
Pola
Malwina
Pelagia
Żaneta
Apolonia
Sara
Julianna
Honorata
Mieczysława
Bernadeta
Eliza
Adela
Waleria
Ludwika
Celina
Aldona
Eleonora
Julita
Feliksa
Wacława
Kaja
Violetta
Alfreda
Matylda
Magda
Blanka
Tetiana
Brygida
Felicja
Nataliia
Bożenna
Olena
Diana
Iryna
Aurelia
Izabella
Lilianna
Oksana
Walentyna
Adriana
Paula
Hildegarda
Elwira
Marzanna
Svitlana
Sonia
Olha
Marika
Kalina
Zenobia
Otylia
Andżelika
Romana
Arleta
Zenona
Teodozja
Melania
Teodora
Salomea
Mariia
Luiza
Olivia
Tatiana
Nela
Albina
Yuliia
Bolesława
Romualda
Judyta
Ludmiła
Adelajda
Viktoriia
Natasza
Nicola
Nicole
Jowita
Kateryna
Liudmyla
Anastasiia
Tamara
Victoria
Leonarda
Marzenna
Eryka
Vanessa
Gizela
